City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,fort st. john,56.2499,-120.8529,15.94,36,40,11.32,CA,1695073292
232,uryupinsk,50.8047,42.0138,11.45,63,18,0.58,RU,1695073292
233,puro,12.4841,123.3827,26.83,85,95,2.1,PH,1695073292
234,kapa'a,22.0752,-159.319,29.18,68,40,6.69,US,1695073178
235,mogocha,53.7333,119.7667,-1.64,89,24,2.03,RU,1695073292
236,atafu village,-8.5421,-172.5159,28.66,76,9,6.96,TK,1695073292
237,uacu cungo,-11.3634,15.1208,19.56,80,57,1.39,AO,1695073293
238,port elizabeth,-33.918,25.5701,14.16,82,75,3.09,ZA,1695073293
239,fort-shevchenko,44.5086,50.263,19.74,65,37,7.05,KZ,1695073293
240,soure,-0.7167,-48.5233,27.36,74,7,5.52,BR,1695073293
241,kodiak,57.79,-152.4072,11.73,58,0,11.32,US,1695073293
242,walvis bay,-22.9575,14.5053,13.94,82,37,3.09,NA,1695073293
243,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,5.14,EC,1695073293
244,ca mau,9.1769,105.15,25.22,89,100,1.42,VN,1695073293
245,lompoc,34.6391,-120.4579,28.72,72,75,6.17,US,1695073293
246,mount isa,-20.7333,139.5,11.87,66,40,2.06,AU,1695073293
247,hithadhoo,-0.6,73.0833,28.04,76,100,6.52,MV,1695073294
248,puerto armuelles,8.2833,-82.8667,27.27,72,100,0.45,PA,1695073097
249,brookings,44.3114,-96.7984,28.19,44,0,3.09,US,1695073204
250,dongola,19.1667,30.4833,32.06,16,62,5.05,SD,1695073294
251,harstad,68.799,16.5293,8.78,97,100,3.58,NO,1695073294
252,holualoa,19.6228,-155.9522,28.21,76,40,5.14,US,1695073294
253,ovalle,-30.5983,-71.2003,21.06,36,100,2.21,CL,1695073057
254,novyy urgal,51.0736,132.5642,11.17,95,100,1.66,RU,1695073294
255,kashgar,39.4547,75.9797,20.56,40,20,0.0,CN,1695073294
256,bang saphan,11.2126,99.5117,24.73,88,100,1.76,TH,1695073295
257,yemetsk,63.4721,41.7941,3.6,94,58,2.39,RU,1695073295
258,luderitz,-26.6481,15.1594,14.22,75,0,6.31,NA,1695073295
259,sept-iles,50.2001,-66.3821,15.03,85,100,3.09,CA,1695073295
260,ust-nera,64.5667,143.2,0.97,87,84,2.63,RU,1695073295
261,constantia,44.1833,28.65,16.38,63,0,2.08,RO,1695073295
262,mantua,45.1667,10.7833,21.58,86,60,1.44,IT,1695073296
